,typesOrg,orgMainType,number,numberOrg
1675,organization | private club,not classified organisation,1,2
331,boarding school | military school | private school | school building | single-sex education,educational institution,1,5
332,boarding school | nonprofit organization,scientific organisation,1,2
333,boarding school | nonprofit organization | secondary school,scientific organisation,1,3
335,boarding school | primary school | secondary school,educational institution,1,3
1719,parliament building,not classified organisation,1,1
1720,parliament | riksdag | unicameral legislature,not classified organisation,1,3
1721,parliament | unicameral legislature,not classified organisation,1,2
1723,parliamentary committee of inquiry,not classified organisation,1,1
1679,organization | private school | school network,educational institution,1,3
1682,organization | professional association | women's organization,not classified organisation,1,3
1683,organization | professional services network,not classified organisation,1,2
1690,organization | public university | university,public university,1,3
1691,organization | publishing company | social movement | sports organization | voluntary association,company or gov. agency,1,5
1695,organization | school system,educational institution,1,2
1696,organization | secret service,not classified organisation,1,2
1698,organization | sports governing body,not classified organisation,1,2
1707,organization | writers union,not classified organisation,1,2
1708,organization | writing circle,not classified organisation,1,2
1709,organization | wwii resistance group,not classified organisation,1,2
1710,organization | youth organisation | zionist youth movement,not classified organisation,1,3
1711,organization | école normale supérieure,public university,1,2
1713,panel | position,not classified organisation,1,2
1715,paramilitary organization | polish resistance movement in world war ii,not classified organisation,1,2
1717,paramilitary organization | shock troops,not classified organisation,1,2
294,boarding school | charitable organization | school for the blind | special education school,educational institution,1,4
295,boarding school | coeducational school,educational institution,1,2
298,boarding school | day school | historic district | university-preparatory school,university,1,4
860,educational institution | public school,educational institution,1,2
861,educational institution | q15063568,educational institution,1,2
863,educational institution | school building,educational institution,1,2
329,boarding school | international school | school,educational institution,1,3
330,boarding school | junior college | private school | secondary school,educational institution,1,4
845,educational institution | museum,educational institution,1,2
846,educational institution | national academy,educational institution,1,2
848,educational institution | open-access publisher,educational institution,1,2
385,building | church college | private not-for-profit educational institution | university,university,1,4
386,building | club | gentlemen's club,not classified organisation,1,3
387,building | coeducational school | primary school | private school | secondary school | upper secondary school in finland,educational institution,1,6
388,building | community college | public educational institution of the united states,educational institution,1,3
1734,political coalition | political organization,not classified organisation,1,2
1727,pesantren,not classified organisation,1,1
1728,pharmacy school,educational institution,1,1
115,academy school | school,educational institution,1,2
122,academy | language regulator | literary society,learned society,1,3
124,academy | medical school,educational institution,1,2
128,academy | organization | university,university,1,3
1729,philatelic organization,not classified organisation,1,1
1704,organization | u.s. state supreme court,not classified organisation,1,2
1756,pressure group | professional association,not classified organisation,1,2
1762,primary school | secondary school,educational institution,1,2
1731,place of gestapo terror | state police headquarter,not classified organisation,1,2
1733,police academy | university,university,1,2
484,catholic school | heritage site | high school | single-sex school,educational institution,1,4
490,catholic seminary | catholic theological faculty | pontifical university,university,1,3
492,catholic seminary | church building | tourist attraction,not classified organisation,1,3
493,catholic seminary | higher center for theological studies,not classified organisation,1,2
495,catholic seminary | pontifical university,university,1,2
707,conservatory | czech research institution | public university,public university,1,3
708,conservatory | nonprofit organization,scientific organisation,1,2
833,educational institution | flight school,educational institution,1,2
837,educational institution | higher education institution | private educational institution,educational institution,1,3
838,educational institution | higher education institution | public educational institution,educational institution,1,3
839,educational institution | hospital,educational institution,1,2
842,educational institution | language school,educational institution,1,2
820,dār al-ʿulūm,not classified organisation,1,1
821,economic activity,not classified organisation,1,1
823,educational facility | lycée,research facility,1,2
824,educational facility | lycée | lycée-collège,research facility,1,3
100,academy of sciences | research institute,academy of sciences,1,2
1736,political ideology,not classified organisation,1,1
1738,political movement | terrorist organization,not classified organisation,1,2
1741,political organization | youth organisation,not classified organisation,1,2
1743,political party | social democratic party,not classified organisation,1,2
1745,polytechnic,institute of technology,1,1
1746,pontifical academy,learned society,1,1
1747,pontifical institute,research organisation,1,1
1749,pontifical university | seminary,university,1,2
1751,position | profession,not classified organisation,1,2
1752,position | public office,not classified organisation,1,2
1753,position | wikimedia list article,not classified organisation,1,2
478,catholic school | dormitory | gymnasium | piarist school,educational institution,1,4
481,catholic school | gymnasium,educational institution,1,2
104,academy school | boarding school | boys' school | grammar school | secondary school,educational institution,1,5
1766,private educational institution | university of applied sciences,university,1,2
1767,private for-profit educational institution | university,university,1,2
1768,private hochschule,not classified organisation,1,1
1783,private not-for-profit educational institution | women's college | women's college in the united states,educational institution,1,3
1787,private school | school building,educational institution,1,2
853,educational institution | organization | private university,private university,1,3
855,educational institution | police academy,educational institution,1,2
858,educational institution | public company | university,university,1,3
859,educational institution | public research university | university in british columbia,university,1,3
312,boarding school | grammar school,educational institution,1,2
313,boarding school | high school | independent school,educational institution,1,3
318,boarding school | high school | summer camp program,educational institution,1,3
319,boarding school | historic building | kindergarten | public school | secondary school,educational institution,1,5
803,dicastery | roman college,educational institution,1,2
806,directorate-general of the european commission,not classified organisation,1,1
807,disability rights organization | government agency | independent agency of the united states government | tribunal,company or gov. agency,1,4
809,district court in the czech republic,not classified organisation,1,1
815,drama school,educational institution,1,1
816,duplicate entry | imperial university of the russian empire,university,1,2
1801,public authority,not classified organisation,1,1
1802,public benefit organization | wikimedia chapter,not classified organisation,1,2
1803,public broadcaster,not classified organisation,1,1
1804,public building,not classified organisation,1,1
102,academy school | architectural structure | girls' school | grammar school | secondary school,educational institution,1,5
468,cantonal authority | cantonal legislatures of switzerland,not classified organisation,1,2
469,cantonal court,not classified organisation,1,1
473,catholic organization | nonprofit organization | pressure group | women's organization,scientific organisation,1,4
475,catholic parish | catholic parish church | church building,not classified organisation,1,3
477,catholic school | church building | high school,educational institution,1,3
452,business | state-owned enterprise,company or gov. agency,1,2
453,business | transport company,company or gov. agency,1,2
456,cadet corps,not classified organisation,1,1
105,academy school | boarding school | grammar school | secondary school,educational institution,1,4
106,academy school | boarding school | secondary school,educational institution,1,3
107,academy school | boys' school | catholic school | secondary school,educational institution,1,4
110,academy school | catholic school | secondary school,educational institution,1,3
111,academy school | community school | secondary school,educational institution,1,3
1797,professional association,not classified organisation,1,1
1800,province of the netherlands,not classified organisation,1,1
825,educational facility | primary school | private school,research facility,1,3
826,educational facility | school building,research facility,1,2
829,educational institution | educational organization | organization | public university | university,public university,1,5
830,educational institution | examination board,educational institution,1,2
832,educational institution | federal university,university,1,2
802,development bank | international financial institution,not classified organisation,1,2
1826,public prosecutors office (japan),not classified organisation,1,1
1835,public school | school building | secondary school,educational institution,1,3
1836,public school | school | university,university,1,3
65,academic publisher | private university | university system,private university,1,3
70,academic publisher | public university,public university,1,2
72,academies and institutes | university,university,1,2
1814,public educational institution of the united states | technical school | university,university,1,3
1817,public educational institution of the united states | university | university campus,university,1,3
1818,public educational institution of the united states | upper division college,educational institution,1,2
1820,public inquiry,not classified organisation,1,1
1821,public institution,not classified organisation,1,1
1822,public institution | publishing company,company or gov. agency,1,2
448,business | organization,company or gov. agency,1,2
449,business | psychiatric hospital,company or gov. agency,1,2
450,business | railway company,company or gov. agency,1,2
451,business | railway company | transcontinental railroad | transport company,company or gov. agency,1,4
787,defunct court,not classified organisation,1,1
788,defunct government institution | foreign affairs ministry | ministry of the gdr,company or gov. agency,1,3
790,defunct organization,not classified organisation,1,1
791,defunct organization | faculty of law,university,1,2
792,defunct organization | state bank,not classified organisation,1,2
793,defunct organization | university in france,university,1,2
794,department of corrections | state agency of the united states,not classified organisation,1,2
1860,q27999366 | vorfeldorganisation,not classified organisation,1,2
1861,q4158616,not classified organisation,1,1
1862,q55658194,not classified organisation,1,1
1863,q5789562,not classified organisation,1,1
460,campus university | open-access publisher | organization | public university,public university,1,4
463,campus university | public university | university of applied sciences,public university,1,3
466,canadian federal department | justice ministry,not classified organisation,1,2
1823,public office,not classified organisation,1,1
1825,public policy school | university,university,1,2
435,business | daily newspaper | newspaper,company or gov. agency,1,3
436,business | educational institution | private educational institution | public company | university,university,1,5
438,business | enterprise | holding company,company or gov. agency,1,3
441,business | enterprise | organization,company or gov. agency,1,3
1842,public university | research institute,public university,1,2
1849,publishing company,company or gov. agency,1,1
1850,publishing company | university,university,1,2
1852,q105968869,not classified organisation,1,1
1857,q1802087,not classified organisation,1,1
1858,q2009063,not classified organisation,1,1
305,boarding school | educational institution | high school | public school | secondary school,educational institution,1,5
307,boarding school | further education college | secondary school,educational institution,1,3
310,boarding school | girls' school | independent school | school,educational institution,1,4
311,boarding school | girls' school | secondary school,educational institution,1,3
785,defence ministry | executive department of the philippines,not classified organisation,1,2
786,defence ministry | ministries of denmark,not classified organisation,1,2
717,constitutional court | constitutional institution | court,not classified organisation,1,3
720,constitutional court | public office,not classified organisation,1,2
723,constitutional institution | superior court,not classified organisation,1,2
725,consumer ministry | german state agency | justice ministry | ministry of migration,not classified organisation,1,4
726,convention,not classified organisation,1,1
1879,research library | state agency of california,research organisation,1,2
1882,residential college | residential colleges of yale university,university,1,2
1883,residential college | seminary,educational institution,1,2
1884,residential college | university dormitory,university,1,2
1868,radio station,not classified organisation,1,1
429,business | central bank,company or gov. agency,1,2
430,business | colonial society | east india company | enterprise,learned society,1,4
431,business | concern | enterprise | gas station chain | organization | public company,company or gov. agency,1,6
432,business | credit institution | enterprise,company or gov. agency,1,3
433,business | credit institution | enterprise | public company | systematic internaliser | universal bank,company or gov. agency,1,6
434,business | cruise line,company or gov. agency,1,2
1900,school | seminary,educational institution,1,2
1901,school | university campus,university,1,2
1904,scientific journal,company or gov. agency,1,1
443,business | insurance company | organization,company or gov. agency,1,3
444,business | insurance company | organization | public company,company or gov. agency,1,4
1870,regional council of new zealand,not classified organisation,1,1
50,academic publisher | international organization | nonprofit organization | open-access publisher,scientific organisation,1,4
1873,religious organization,not classified organisation,1,1
796,department of the australian government | government agency,company or gov. agency,1,2
799,destination marketing organization | voluntary association,not classified organisation,1,2
800,destroyed building or structure | gymnasium in germany | lyceum,educational institution,1,3
801,destroyed building or structure | high school,educational institution,1,2
781,day school | school | school building | secondary school,educational institution,1,4
783,decentralised agency of the european union,not classified organisation,1,1
711,constituent college,educational institution,1,1
715,constituent college | university building,university,1,2
760,cultural club | discussion group | secret society,learned society,1,3
761,cultural heritage ensemble | gymnasium in germany | school,educational institution,1,3
764,cultural institution,not classified organisation,1,1
766,cultural property | jesuit school | public school,educational institution,1,3
768,czech research institution | educational organization | institute,research organisation,1,3
1914,secret society | society,learned society,1,2
1915,security agency,not classified organisation,1,1
1886,restaurant chain,not classified organisation,1,1
1887,roman catholic metropolitan archdiocese,not classified organisation,1,1
1888,royal house,not classified organisation,1,1
1889,running club | sports club,not classified organisation,1,2
1890,russian general jurisdiction court,not classified organisation,1,1
1894,school district in the united states,educational institution,1,1
1895,school for the blind | special education school,educational institution,1,2
1896,school of international relations,educational institution,1,1
1897,school of pedagogy,educational institution,1,1
1934,specialized school,educational institution,1,1
1935,sportgymnasium | upper secondary school in finland,educational institution,1,2
1936,sports governing body,not classified organisation,1,1
39,academic publisher | church college | private university,private university,1,3
47,academic publisher | higher education institution | public research university | world health organization collaborating centre,university,1,4
1906,scientific society | think tank,scientific organisation,1,2
1911,secondary school | voluntary controlled school,educational institution,1,2
1912,secondary school | yeshiva high school,educational institution,1,2
728,corporated law firm,not classified organisation,1,1
729,corporation,not classified organisation,1,1
730,corporation | enterprise | gas station chain | oil company | organization | public company,company or gov. agency,1,6
784,deemed university,university,1,1
756,courthouse | district court,not classified organisation,1,2
757,courts of appeal of romania,not classified organisation,1,1
758,courts of england and wales | superior court,not classified organisation,1,2
759,cultural association,not classified organisation,1,1
743,court of cassation,not classified organisation,1,1
744,court of cassation | q129341528 | supreme court,not classified organisation,1,3
745,court of justice,not classified organisation,1,1
746,court of justice | government organization,company or gov. agency,1,2
747,court | government agency,company or gov. agency,1,2
748,court | international court,not classified organisation,1,2
417,business college,educational institution,1,1
421,business school | graduate school | organization,educational institution,1,3
426,business school | public university,public university,1,2
1920,senate,not classified organisation,1,1
1922,senate of bremen | state government in germany,company or gov. agency,1,2
1924,senioren-convent,not classified organisation,1,1
1925,skyscraper | university building,university,1,2
1927,social court,not classified organisation,1,1
1929,sociedad económica de amigos del país,not classified organisation,1,1
1933,specialized higher education institution,educational institution,1,1
1982,united states congressional select or special committee,not classified organisation,1,1
0,501(c)(3) organization,not classified organisation,1,1
2012,welsh-medium school,educational institution,1,1
1965,text publication society,learned society,1,1
1937,sports organization,not classified organisation,1,1
1939,staatsanwaltschaft,not classified organisation,1,1
1940,staatscommissie,not classified organisation,1,1
774,daily newspaper | newspaper,not classified organisation,1,2
775,daily newspaper | periodical,company or gov. agency,1,2
777,danish investigative commission,not classified organisation,1,1
778,data protection authority | government agency,company or gov. agency,1,2
779,database | language regulator,not classified organisation,1,2
737,county of nevada,not classified organisation,1,1
740,court of appeal (prussia),not classified organisation,1,1
741,court of appeal of belgium,not classified organisation,1,1
742,court of audit | q129341528,not classified organisation,1,2
401,building | open-access publisher | public university,public university,1,3
3,501(c)(3) organization | nonprofit corporation,not classified organisation,1,2
1,501(c)(3) organization | advocacy group | nonprofit organization,scientific organisation,1,3
2007,verwaltungshochschule,not classified organisation,1,1
7,academic department | graduate school | journalism school,university,1,3
9,academic hall of the university of oxford,university,1,1
11,academic institution | college,educational institution,1,2
15,academic institution | educational institution | think tank,educational institution,1,3
16,academic institution | educational institution | university,university,1,3
2004,upper secondary school in norway,educational institution,1,1
2005,upper secondary school in norway | vocational school,educational institution,1,2
2020,yacht club,not classified organisation,1,1
2023,youth program,not classified organisation,1,1
1989,university building,university,1,1
1948,stubengesellschaft,not classified organisation,1,1
1953,study group,not classified organisation,1,1
1133,heritage society | historical society,learned society,1,2
1135,high council of state | lower house,not classified organisation,1,2
1139,high people's court,not classified organisation,1,1
1140,high public prosecutors office,not classified organisation,1,1
733,council | organization established by the united nations,not classified organisation,1,2
735,country club | sports venue,not classified organisation,1,2
736,county government in california | municipal corporation in the united states,company or gov. agency,1,2
21,academic institution | heritage site,educational institution,1,2
4,abbey | catholic seminary,not classified organisation,1,2
1995,university library,university,1,1
1996,university of applied sciences,university,1,1
1999,university | university correspondence course,university,1,2
2000,university | university of applied sciences (switzerland),university,1,2
2017,women's wing,not classified organisation,1,1
2019,wwii resistance group,not classified organisation,1,1
2014,wikimedia list article,not classified organisation,1,1
